DATE,DSPX
06/19/2014,17.81
06/20/2014,17.37
06/23/2014,17.7
06/24/2014,16.59
06/25/2014,17.78
06/26/2014,17.43
06/27/2014,18.09
06/30/2014,19.41
07/01/2014,19.43
07/02/2014,19.54
07/03/2014,20.6
07/07/2014,20.27
07/08/2014,21.15
07/09/2014,21.94
07/10/2014,20.32
07/11/2014,20.61
07/14/2014,20.79
07/15/2014,21.15
07/16/2014,21.7
07/17/2014,20.37
07/18/2014,20.14
07/21/2014,20.55
07/22/2014,20.02
07/23/2014,17.54
07/24/2014,17.0
07/25/2014,16.18
07/28/2014,16.7
07/29/2014,15.71
07/30/2014,15.47
07/31/2014,15.1
08/01/2014,16.16
08/04/2014,17.36
08/05/2014,16.85
08/06/2014,17.5
08/07/2014,15.92
08/08/2014,16.39
08/11/2014,16.98
08/12/2014,16.28
08/13/2014,15.87
08/14/2014,15.71
08/15/2014,14.76
08/18/2014,14.67
08/19/2014,14.14
08/20/2014,14.3
08/21/2014,14.24
08/22/2014,14.3
08/25/2014,14.82
08/26/2014,14.76
08/27/2014,14.88
08/28/2014,15.12
08/29/2014,15.43
09/02/2014,16.14
09/03/2014,18.14
09/04/2014,17.5
09/05/2014,18.0
09/08/2014,18.18
09/09/2014,17.2
09/10/2014,16.8
09/11/2014,16.44
09/12/2014,16.86
09/15/2014,16.83
09/16/2014,17.18
09/17/2014,16.85
09/18/2014,19.91
09/19/2014,19.31
09/22/2014,18.79
09/23/2014,18.32
09/24/2014,18.96
09/25/2014,19.58
09/26/2014,19.29
09/29/2014,20.17
09/30/2014,20.01
10/01/2014,21.26
10/02/2014,21.67
10/03/2014,21.49
10/06/2014,21.81
10/07/2014,21.9
10/08/2014,23.1
10/09/2014,22.15
10/10/2014,22.92
10/13/2014,25.0
10/14/2014,25.25
10/15/2014,26.57
10/16/2014,26.44
10/17/2014,24.51
10/20/2014,24.88
10/21/2014,22.61
10/22/2014,21.42
10/23/2014,21.21
10/24/2014,19.86
10/27/2014,20.79
10/28/2014,20.69
10/29/2014,19.53
10/30/2014,19.13
10/31/2014,19.08
11/03/2014,19.21
11/04/2014,19.18
11/05/2014,19.7
11/06/2014,19.53
11/07/2014,19.45
11/10/2014,19.37
11/11/2014,18.7
11/12/2014,18.86
11/13/2014,18.69
11/14/2014,19.56
11/17/2014,20.47
11/18/2014,20.03
11/19/2014,19.36
11/20/2014,19.64
11/21/2014,19.67
11/24/2014,18.62
11/25/2014,18.98
11/26/2014,19.09
11/28/2014,19.73
12/01/2014,21.34
12/02/2014,21.45
12/03/2014,21.29
12/04/2014,21.34
12/05/2014,21.16
12/08/2014,22.09
