DATE,VIXEQ
06/19/2014,20.78
06/20/2014,20.44
06/23/2014,20.84
06/24/2014,20.53
06/25/2014,21.11
06/26/2014,20.91
06/27/2014,21.33
06/30/2014,22.66
07/01/2014,22.33
07/02/2014,22.36
07/03/2014,23.04
07/07/2014,23.24
07/08/2014,24.4
07/09/2014,24.83
07/10/2014,23.88
07/11/2014,23.91
07/14/2014,23.92
07/15/2014,24.34
07/16/2014,24.24
07/17/2014,25.26
07/18/2014,23.61
07/21/2014,24.05
07/22/2014,23.18
07/23/2014,20.98
07/24/2014,20.75
07/25/2014,20.52
07/28/2014,20.94
07/29/2014,20.53
07/30/2014,20.48
07/31/2014,22.68
08/01/2014,23.51
08/04/2014,22.85
08/05/2014,23.66
08/06/2014,23.9
08/07/2014,23.08
08/08/2014,22.67
08/11/2014,22.09
08/12/2014,21.57
08/13/2014,20.54
08/14/2014,20.14
08/15/2014,19.9
08/18/2014,19.14
08/19/2014,18.63
08/20/2014,18.55
08/21/2014,18.43
08/22/2014,18.41
08/25/2014,18.84
08/26/2014,18.77
08/27/2014,19.0
08/28/2014,19.4
08/29/2014,19.6
09/02/2014,20.29
09/03/2014,21.93
09/04/2014,21.62
09/05/2014,21.67
09/08/2014,22.2
09/09/2014,21.95
09/10/2014,21.18
09/11/2014,20.75
09/12/2014,21.54
09/15/2014,21.94
09/16/2014,21.5
09/17/2014,21.07
09/18/2014,23.27
09/19/2014,22.83
09/22/2014,23.25
09/23/2014,23.45
09/24/2014,23.27
09/25/2014,25.28
09/26/2014,24.34
09/29/2014,25.71
09/30/2014,25.72
10/01/2014,27.14
10/02/2014,27.06
10/03/2014,26.0
10/06/2014,26.65
10/07/2014,27.95
10/08/2014,27.6
10/09/2014,29.21
10/10/2014,31.18
10/13/2014,34.97
10/14/2014,34.66
10/15/2014,36.43
10/16/2014,36.62
10/17/2014,32.91
10/20/2014,31.02
10/21/2014,27.95
10/22/2014,28.24
10/23/2014,27.02
10/24/2014,25.72
10/27/2014,26.37
10/28/2014,25.28
10/29/2014,24.52
10/30/2014,24.02
10/31/2014,23.66
11/03/2014,24.24
11/04/2014,24.3
11/05/2014,24.37
11/06/2014,24.0
11/07/2014,23.44
11/10/2014,23.15
11/11/2014,22.77
11/12/2014,23.0
11/13/2014,23.15
11/14/2014,23.78
11/17/2014,24.83
11/18/2014,24.23
11/19/2014,23.94
11/20/2014,23.99
11/21/2014,23.6
11/24/2014,22.52
11/25/2014,22.67
11/26/2014,22.6
11/28/2014,23.81
12/01/2014,25.6
12/02/2014,25.08
12/03/2014,24.63
12/04/2014,24.74
12/05/2014,24.32
12/08/2014,26.22
12/09/2014,26.58
12/10/2014,28.88
12/11/2014,27.09
12/12/2014,29.69
12/15/2014,31.48
12/16/2014,33.49
12/17/2014,31.55
