Date,Value
1994-12-01,7.91
1995-12-01,6.84
1996-12-01,-0.67
1997-01-01,-0.03
1997-02-01,-3.13
1997-03-01,-3.47
1997-04-01,-3.58
1997-05-01,-1.59
1997-06-01,0.14
1997-07-01,-1.44
1997-08-01,-3.68
1997-09-01,-2.59
1997-10-01,-1.22
1997-11-01,-2.27
1997-12-01,-2.85
1998-01-01,-1.06
1998-02-01,3.18
1998-03-01,2.36
1998-04-01,2.96
1998-05-01,0.94
1998-06-01,-1.77
1998-07-01,-0.78
1998-08-01,0.15
1998-09-01,4.29
1998-10-01,8.88
1998-11-01,9.2
1998-12-01,12.66
1999-01-01,14.53
1999-02-01,10.81
1999-03-01,10.21
1999-04-01,10.03
1999-05-01,9.34
1999-06-01,10.72
1999-07-01,11.36
1999-08-01,14.58
1999-09-01,11.93
1999-10-01,7.71
1999-11-01,7.49
1999-12-01,6.16
2000-01-01,4.07
2000-02-01,3.77
2000-03-01,6.09
2000-04-01,6.97
2000-05-01,5.15
2000-06-01,7.17
2000-07-01,5.62
2000-08-01,2.22
2000-09-01,0.22
2000-10-01,-1.82
2000-11-01,-1.63
2000-12-01,-1.61
2001-01-01,-0.39
2001-02-01,1.69
2001-03-01,-0.42
2001-04-01,-1.19
2001-05-01,0.89
2001-06-01,-0.77
2001-07-01,0.02
2001-08-01,2.9
2001-09-01,5.06
2001-10-01,4.99
2001-11-01,4.84
2001-12-01,3.59
2002-01-01,1.76
2002-02-01,1.62
2002-03-01,3.94
2002-04-01,4.83
2002-05-01,7.23
2002-06-01,9.3
2002-07-01,12.29
2002-08-01,9.61
2002-09-01,7.62
2002-10-01,8.23
2002-11-01,10.33
2002-12-01,11.65
2003-01-01,15.49
2003-02-01,16.47
2003-03-01,16.04
2003-04-01,15.66
2003-05-01,16.7
2003-06-01,14.74
2003-07-01,11.17
2003-08-01,11.62
2003-09-01,12.76
2003-10-01,16.2
2003-11-01,14.5
2003-12-01,15.87
2004-01-01,14.79
2004-02-01,14.6
2004-03-01,12.84
2004-04-01,12.48
2004-05-01,8.36
2004-06-01,9.18
2004-07-01,10.18
2004-08-01,9.87
2004-09-01,9.41
2004-10-01,7.81
2004-11-01,10.46
2004-12-01,9.91
2005-01-01,8.28
2005-02-01,7.34
2005-03-01,9.06
2005-04-01,8.25
2005-05-01,8.72
2005-06-01,6.21
2005-07-01,5.39
2005-08-01,7.05
2005-09-01,6.93
2005-10-01,4.36
2005-11-01,0.62
2005-12-01,-0.27
2006-01-01,1.65
2006-02-01,1.56
2006-03-01,1.71
2006-04-01,3.87
2006-05-01,6.64
2006-06-01,7.53
2006-07-01,7.79
2006-08-01,6.99
2006-09-01,6.83
2006-10-01,7.86
2006-11-01,10.73
2006-12-01,11.8
2007-01-01,9.33
2007-02-01,10.9
2007-03-01,11.85
2007-04-01,11.32
2007-05-01,8.82
2007-06-01,9.49
2007-07-01,11.36
2007-08-01,11.87
2007-09-01,13.47
2007-10-01,15.26
2007-11-01,16.57
2007-12-01,14.43
2008-01-01,18.2
2008-02-01,18.63
2008-03-01,20.89
2008-04-01,20.8
2008-05-01,20.48
2008-06-01,20.32
2008-07-01,19.3
2008-08-01,14.92
2008-09-01,13.28
2008-10-01,11.39
2008-11-01,8.11
2008-12-01,13.42
2009-01-01,11.1
2009-02-01,8.57
2009-03-01,5.22
2009-04-01,5.11
2009-05-01,7.37
2009-06-01,8.92
2009-07-01,8.91
2009-08-01,12.22
2009-09-01,13.89
2009-10-01,15.43
2009-11-01,16.61
2009-12-01,10.65
2010-01-01,9.41
2010-02-01,10.11
2010-03-01,9.63
2010-04-01,8.29
2010-05-01,4.88
2010-06-01,3.43
2010-07-01,4.76
2010-08-01,5.86
2010-09-01,5.4
2010-10-01,7.44
2010-11-01,6.36
2010-12-01,6.45
2011-01-01,7.76
2011-02-01,9.45
2011-03-01,11.57
2011-04-01,13.1
2011-05-01,15.42
2011-06-01,16.5
2011-07-01,14.38
2011-08-01,14.73
2011-09-01,12.38
2011-10-01,10.39
2011-11-01,10.42
2011-12-01,11.29
2012-01-01,10.47
2012-02-01,10.18
2012-03-01,8.05
2012-04-01,7.14
2012-05-01,6.16
2012-06-01,5.67
2012-07-01,4.89
2012-08-01,3.76
2012-09-01,6.8
2012-10-01,5.95
2012-11-01,5.8
2012-12-01,6.45
2013-01-01,6.16
2013-02-01,4.99
2013-03-01,5.28
2013-04-01,5.07
2013-05-01,5.08
2013-06-01,5.99
2013-07-01,5.8
2013-08-01,6.47
2013-09-01,4.64
2013-10-01,5.44
2013-11-01,5.4
2013-12-01,5.22
2014-01-01,5.97
2014-02-01,6.59
2014-03-01,7.05
2014-04-01,7.21
2014-05-01,7.97
2014-06-01,7.29
2014-07-01,7.66
2014-08-01,6.05
2014-09-01,4.45
2014-10-01,3.14
2014-11-01,2.27
2014-12-01,1.25
2015-01-01,0.02
2015-02-01,-0.27
2015-03-01,-1.19
2015-04-01,-0.92
2015-05-01,-0.03
