Date,Value
1990-01-01,41.6667
1990-02-01,33.3333
1990-03-01,41.6667
1990-04-01,41.6667
1990-05-01,33.3333
1990-06-01,33.3333
1990-07-01,50.0
1990-08-01,25.0
1990-09-01,25.0
1990-10-01,33.3333
1990-11-01,41.6667
1990-12-01,33.3333
1991-01-01,33.3333
1991-02-01,53.8462
1991-03-01,53.8462
1991-04-01,53.8462
1991-05-01,38.4615
1991-06-01,46.1538
1991-07-01,46.1538
1991-08-01,42.8571
1991-09-01,42.8571
1991-10-01,46.6667
1991-11-01,66.6667
1991-12-01,40.0
1992-01-01,37.5
1992-02-01,50.0
1992-03-01,31.25
1992-04-01,37.5
1992-05-01,37.5
1992-06-01,43.75
1992-07-01,41.1765
1992-08-01,41.1765
1992-09-01,41.1765
1992-10-01,41.1765
1992-11-01,50.0
1992-12-01,42.1053
1993-01-01,52.6316
1993-02-01,66.6667
1993-03-01,61.9048
1993-04-01,57.1429
1993-05-01,61.9048
1993-06-01,50.0
1993-07-01,50.0
1993-08-01,50.0
1993-09-01,43.4783
1993-10-01,52.1739
1993-11-01,47.8261
1993-12-01,52.1739
1994-01-01,56.5217
1994-02-01,52.1739
1994-03-01,37.5
1994-04-01,37.5
1994-05-01,37.5
1994-06-01,37.5
1994-07-01,50.0
1994-08-01,54.1667
1994-09-01,58.3333
1994-10-01,41.6667
1994-11-01,41.6667
1994-12-01,29.1667
1995-01-01,45.8333
1995-02-01,33.3333
1995-03-01,33.3333
1995-04-01,45.8333
1995-05-01,41.6667
1995-06-01,37.5
1995-07-01,54.1667
1995-08-01,52.0
1995-09-01,44.0
1995-10-01,52.0
1995-11-01,44.0
1995-12-01,40.0
1996-01-01,60.0
1996-02-01,76.0
1996-03-01,69.2308
1996-04-01,65.3846
1996-05-01,69.2308
1996-06-01,65.3846
1996-07-01,65.3846
1996-08-01,69.2308
1996-09-01,73.0769
1996-10-01,73.0769
1996-11-01,78.5714
1996-12-01,71.4286
1997-01-01,71.4286
1997-02-01,71.4286
1997-03-01,71.4286
1997-04-01,71.4286
1997-05-01,71.4286
1997-06-01,71.4286
1997-07-01,71.4286
1997-08-01,60.7143
1997-09-01,75.0
1997-10-01,57.1429
1997-11-01,57.1429
1997-12-01,57.1429
1998-01-01,57.1429
1998-02-01,50.0
1998-03-01,53.5714
1998-04-01,62.069
1998-05-01,54.8387
1998-06-01,51.6129
1998-07-01,54.8387
1998-08-01,54.8387
1998-09-01,54.8387
1998-10-01,65.625
1998-11-01,78.125
1998-12-01,84.375
1999-01-01,81.25
1999-02-01,78.125
1999-03-01,78.7879
1999-04-01,85.2941
1999-05-01,82.3529
1999-06-01,76.4706
1999-07-01,76.4706
1999-08-01,73.5294
1999-09-01,73.5294
1999-10-01,67.6471
1999-11-01,70.5882
1999-12-01,57.1429
2000-01-01,51.4286
2000-02-01,54.0541
2000-03-01,62.1622
2000-04-01,47.3684
2000-05-01,52.6316
2000-06-01,52.6316
2000-07-01,50.0
2000-08-01,46.1538
2000-09-01,50.0
2000-10-01,50.0
2000-11-01,42.5
2000-12-01,47.5
2001-01-01,57.5
2001-02-01,67.5
2001-03-01,70.0
2001-04-01,80.0
2001-05-01,80.0
2001-06-01,77.5
2001-07-01,75.0
2001-08-01,75.0
2001-09-01,80.0
2001-10-01,82.5
2001-11-01,87.5
2001-12-01,80.0
2002-01-01,80.0
2002-02-01,85.0
2002-03-01,85.3659
2002-04-01,80.4878
2002-05-01,75.6098
2002-06-01,73.1707
2002-07-01,68.2927
2002-08-01,75.6098
2002-09-01,73.1707
2002-10-01,63.4146
2002-11-01,63.4146
2002-12-01,68.2927
2003-01-01,63.4146
2003-02-01,70.7317
2003-03-01,66.6667
2003-04-01,66.6667
2003-05-01,76.7442
2003-06-01,79.0698
2003-07-01,86.0465
2003-08-01,86.0465
2003-09-01,81.3953
2003-10-01,76.7442
2003-11-01,79.0698
2003-12-01,79.0698
2004-01-01,79.5455
2004-02-01,82.2222
2004-03-01,77.7778
2004-04-01,71.7391
2004-05-01,80.4348
2004-06-01,78.2609
2004-07-01,69.5652
2004-08-01,63.0435
2004-09-01,60.8696
2004-10-01,54.3478
2004-11-01,52.1739
2004-12-01,54.3478
2005-01-01,50.0
2005-02-01,51.0638
2005-03-01,46.8085
2005-04-01,48.9362
2005-05-01,40.4255
2005-06-01,42.5532
2005-07-01,40.4255
2005-08-01,39.5833
2005-09-01,45.8333
2005-10-01,39.5833
2005-11-01,38.0
2005-12-01,33.3333
2006-01-01,31.3725
2006-02-01,35.2941
2006-03-01,33.3333
2006-04-01,35.2941
2006-05-01,31.3725
2006-06-01,29.4118
2006-07-01,28.8462
2006-08-01,30.7692
2006-09-01,28.8462
2006-10-01,28.3019
2006-11-01,28.3019
2006-12-01,30.1887
2007-01-01,30.1887
2007-02-01,35.8491
2007-03-01,33.9623
2007-04-01,32.0755
2007-05-01,31.4815
2007-06-01,36.3636
2007-07-01,36.3636
2007-08-01,40.0
2007-09-01,41.8182
2007-10-01,38.5965
2007-11-01,36.8421
2007-12-01,39.6552
2008-01-01,37.2881
2008-02-01,38.3333
2008-03-01,34.4262
2008-04-01,34.4262
2008-05-01,29.5082
2008-06-01,27.8689
2008-07-01,26.2295
2008-08-01,27.8689
2008-09-01,30.6452
2008-10-01,35.3846
2008-11-01,47.6923
